"Monat","Bestellungen","Bruttoumsatz","Rabatte","Rückgaben","Nettoumsatz","Versandgebühren","Zollgebühren","Zusätzliche Gebühren","Steuern","Gesamtumsatz","Kunden","Month (previous_period)","Orders (previous_period)","Gross sales (previous_period)","Discounts (previous_period)","Returns (previous_period)","Net sales (previous_period)","Shipping charges (previous_period)","Duties (previous_period)","Additional fees (previous_period)","Taxes (previous_period)","Total sales (previous_period)","Customers (previous_period)"
"2024-08-01",0,0,0,0,0,0,0,0,0,0,0,"2023-08-01",0,0,0,0,0,0,0,0,0,0,0
"2024-09-01",0,0,0,0,0,0,0,0,0,0,0,"2023-09-01",0,0,0,0,0,0,0,0,0,0,0
"2024-10-01",0,0,0,0,0,0,0,0,0,0,0,"2023-10-01",0,0,0,0,0,0,0,0,0,0,0
"2024-11-01",13,825,0,-1,824,46.92,0,0,0,870.92,10,"2023-11-01",0,0,0,0,0,0,0,0,0,0,0
"2024-12-01",5,642,0,0,642,32.96,0,0,0,674.96,5,"2023-12-01",0,0,0,0,0,0,0,0,0,0,0
"2025-01-01",4,262.5,0,0,262.5,24.56,0,0,0,287.06,4,"2024-01-01",0,0,0,0,0,0,0,0,0,0,0
"2025-02-01",8,1318,0,0,1318,47.44,0,0,0,1365.44,8,"2024-02-01",0,0,0,0,0,0,0,0,0,0,0
"2025-03-01",8,1271,0,0,1271,64.12,0,0,0,1335.12,8,"2024-03-01",0,0,0,0,0,0,0,0,0,0,0
"2025-04-01",5,567.96,-12.95,0,555.01,35.06,0,0,0,590.07,5,"2024-04-01",0,0,0,0,0,0,0,0,0,0,0
"2025-05-01",2,169.5,0,0,169.5,6.19,0,0,0,175.69,2,"2024-05-01",0,0,0,0,0,0,0,0,0,0,0
"2025-06-01",3,335,0,0,335,35.17,0,0,0,370.17,3,"2024-06-01",0,0,0,0,0,0,0,0,0,0,0
"2025-07-01",4,541.4,0,0,541.4,44.83,0,0,0,586.23,4,"2024-07-01",0,0,0,0,0,0,0,0,0,0,0
"2025-08-01",8,736.27,0,0,736.27,74.28,0,0,0,810.55,8,"2024-08-01",0,0,0,0,0,0,0,0,0,0,0
