date,date,Vertriebskanal,Bestellungen,Nettoumsatz
2024,11,CedCommerce eBay IntegrationOnline StoreCedCommerce eBay IntegrationOnline StoreCedCommerce eBay IntegrationCedCommerce eBay Integration,7,814.0
2024,12,Online StoreOnline StoreOnline StoreOnline StoreOnline Store,5,642.0
2025,1,CedCommerce eBay IntegrationCedCommerce eBay IntegrationCedCommerce eBay IntegrationCedCommerce eBay Integration,4,262.5
2025,2,CedCommerce eBay IntegrationOnline StoreCedCommerce eBay IntegrationCedCommerce eBay IntegrationOnline StoreOnline StoreCedCommerce eBay Integration,8,1318.0
2025,3,Online StoreOnline StoreOnline StoreCedCommerce eBay IntegrationOnline StoreCedCommerce eBay IntegrationCedCommerce eBay Integration,8,1271.0
2025,4,CedCommerce eBay IntegrationOnline StoreOnline StoreOnline Store,5,555.01
2025,5,Online StoreCedCommerce eBay Integration,2,169.5
2025,6,Online StoreOnline StoreOnline Store,3,335.0
2025,7,CedCommerce eBay IntegrationOnline StoreOnline StoreOnline Store,4,541.4
2025,8,CedCommerce eBay IntegrationOnline StoreOnline StoreCedCommerce eBay IntegrationCedCommerce eBay IntegrationCedCommerce eBay IntegrationCedCommerce eBay Integration,8,736.27
